addr,name,comment
0x40375ce4,TwoFourGScanner_Tick,2.4/5.8 GHz scanner tick: dji_alg dispatch, spectrum scoring, Zala video, A5133; alarm rate limit 3000 ms
0x40375c0c,SX1280_CaptureSpectrum8x256,8 sweeps x 256 bins from 2.4 GHz step 390625 Hz (20 us settle)
0x4037587c,CC2500_DJIParanoidSweep,CC2500 path (0xCE channels, 300 us settle) - unused on this build
0x403759b8,CC2500_DJIWidthScan,CC2500 path histogram width scan - unused on this build
0x40376410,A5133_ParanoidSweep,5725..5899 MHz 1 MHz; 16-window count>7; guard<87; acc 0..4; return 2 if shape test passes
0x403765fc,A5133_SpectralSweep,175-channel sweep; threshold -65..-99 step -5; width 16..69 MHz; edge match +-5 MHz across thresholds
0x40376844,MainLoop_Tick,App main loop: mode switch, calls SubGHz_StateMachine and TwoFourGScanner_Tick (<= every 5000 ms)
0x40376e74,FSK_MatchOnPacket,FSK packet handler: run syncword detectors, +15 dB noise corr, RSSI gate -(rssi_threshold>>1), capture to /fsk_data.bin
0x403770a4,FSK_RssiPrePass,RSSI sweep over range with freq_step; 25 us settle; >30% channels < -112 dBm -> correction flag
0x403771f0,FSK_ScannerTick,FSK scanner state dispatch (1 = pre-pass, 2 = match)
0x4037721c,SX127x_DIO0_ISR,DIO0 interrupt handler
0x40377298,SubGHz_StateMachine,Sub-GHz mode state machine (2 FSK, 3 LoRa, 4/5 RSSI/unknown, 0xd..0xf twin/walkie/morze)
0x4037789c,SX1280_GetRssiFast,IRAM GetRssiInst
0x40377904,SX1280_SetRfFrequencyFast,IRAM SetRfFrequency (Hz)
0x403777cc,SX127x_GetRssiRaw,IRAM RSSI read (FSK)
0x40377738,SX127x_RestartRxFast,IRAM restart RX
0x42007564,SX1280_DJIParanoidSweep,2400..2500 MHz step 400 kHz, 40 us settle; 16-window count>7; guard<125; acc 0..4 confirm>1
0x420076ec,SX1280_ZalaVideoSweep,2200..2399.6 MHz step 400 kHz, 60 us; count>6; guard<250; acc 0..3 confirm>1; enabled when detect_zl_la==2
0x42007844,SX1280_TrackScan,f+-10 MHz step 400 kHz two passes 80 us; detect if >10 samples above -(rssi_threshold>>1)
0x420074c8,SX1280_ObserveTimeDomain,8192 RSSI samples on one channel (390625 Hz raster)
0x42007470,SX1280_BeginScan,reset + beginFSK(2400.0,250,195.0,10,16) + startReceive(0xFFFF)
0x420074b8,SX1280_Sleep,SX128x sleep(true)
0x42007c9c,SX1280_RssiSpectrum256,256 x 390625 Hz spectrum, 100 us settle, folded to 128 bins
0x42007d20,SX1280_FpvSweep400,400 x 250 kHz sweep 2400-2500 MHz, 50 us settle, RSSI clamp [-100,-30]
0x42007e08,SX1280_RssiSweepGeneric,generic (start,end,step) sweep on 250 kHz raster
0x42007f88,FpvTracker_Ctor,FPV tracker constants (lits 0x420002c4..0x42000318) + 256-channel template @3C0E1958
0x42007f3c,FpvTracker_Reset,reset 256 channel states
0x42008094,NoiseLevelClassifier,histogram of 3 dB-quantised RSSI > -90; count>70->80.0, >50->60.0, >30->40.0 (skydio metric)
0x42007a30,SX1280_ElrsScan,ELRS 2.4 scan: begin(2400,812.5,sf8,cr8,sync 0x14,2,12); SF5..8; step 400 kHz
0x42007270,DJI_ScoreA,paramsA: median floor +5 dB, segments (gap 20, minw 2), trimmed-mean features; score=0.55*s1+0.45*s2 in [0,100]; tick threshold 40
0x420073f4,DJI_ScoreA_Wrapper,wrapper for DJI_ScoreA
0x4200552c,DJI_ScoreB,paramsB: floor +5.0, width 18..60, gap 3, persistence 3/2, ratios 0.85/0.4/0.25; tick threshold 3.14
0x42006850,Spec_FindSegments,segments above threshold with gap merge (param_5) and min width (param_4)
0x42006d44,Spec_SegmentFeatures,feature vector: trimmed mean, mean-median, range, flatness, persistence fractions
0x42006428,Spec_Score1,s1 = clamp((mean-med-5)*2.5,0,25)+clamp((flat-0.55)*50,0,20)+width term+range term
0x420061ec,Spec_Score2,s2 = clamp((p4-0.35)*60,0,30)+clamp((p3-0.5)*40,0,20)+clamp((f2-0.22)*80,0,20)+clamp((f1-0.25)*40,0,10)+clamp(mean-med-5,0,10)
0x42006c1c,Spec_MedianAll,median over all 2048 samples
0x42006c8c,Spec_MedianFilter,running median filter (half-window param)
0x420061a0,Spec_MaxHold256,per-bin max over sweeps
0x42004acc,Spec_FindCandidates,candidate finder: floor = quantile 0.4 + 6 dB, >=2 sweeps, width 20..102, gap 3
0x4200512c,TimeDomain_Classify,burst/period classifier on 8192-sample RSSI trace
0x420052f0,TimeDomain_Accumulate,per-sample burst statistics accumulator
0x4200457c,SkydioParams_Copy,copy 0x38-byte parameter block
0x4200423c,CC2500_DJISignalWidth,CC2500 path width test (unused)
0x42008480,Radios24_Init,SX1280 init (beginFSK 2400/250/195/10/16) + A5133 id/calibration
0x4200835c,TwoFourGScanner_Ctor,SPI pins 17/15/16/18, SX1280 module 18/14/12/13 @2 MHz, A5133 pins SDIO16 SCK17 CS48
0x42008654,Radios24_RssiSpectrum,RSSI spectrum entry (cc2500 or sx1280)
0x42008728,A5133_RssiSpectrum,5.8 GHz spectrum entry
0x4200877c,ElrsScan_Entry,elrs scan entry (cc2500 unsupported)
0x42008808,TrackScan_Dispatch,mode/freq dispatch to SX1280_TrackScan or A5133_TrackScan
0x42008884,JammerScan_Entry,sx1280 jammer/FPV sweep entry (beginFSK)
0x420089d4,RecordSpectrum_Entry,record spectrum (beginFSK)
0x42008b7c,A5133_PinsInit,p[0]=SDIO p[1]=SCK p[2]=CS
0x42008bac,A5133_SpiReadByte,bit-banged 3-wire read
0x42008bf8,A5133_SpiWriteByte,bit-banged 3-wire write
0x42008c40,A5133_ReadRegs,read n bytes from reg|0x40
0x42008c88,A5133_WriteReg,write register
0x42008cc0,A5133_ReadReg,read register (reg|0x40)
0x42008cfc,A5133_Strobe,strobe cmd|0x80: 0x80 sleep 0xC0 RX 0xD0/0xD8 TX (datasheet Table 11.1)
0x42008d40,A5133_WritePagedReg,reg 0x35 = page<<4 then reg
0x42008d6c,A5133_TrimCalibration,CP/FT trim (reg 0x38 page 9 = 0xA0; read 8 @0x3F)
0x42008e98,A5133_CalibrateChannelGroup,reg 0x0E=ch; reg2=0x1C; ok if bit4 of (0x25|0x26) clear
0x42008f14,A5133_Init,ID 0xA1513300 check + register tables @3C0E3891..3C0E38CA
0x42009108,A5133_Calibrate,reg2=0x63; CHGroup 25/75/125; FBCF reg0x23 bit4; RSSI cal regs 0x1B/0x1C
0x420090c4,A5133_SetChannel,reg 0x0E CHN = MHz-5725 (FRF = 5725.001 + CHN MHz)
0x420090d8,A5133_StrobeSleep,strobe 0x80
0x420090e8,A5133_StrobeTX_D0,strobe 0xD0 = 1101xxxx = TX mode per A5133 datasheet Table 11.1 (reg 0x3E=0)
0x420090f8,A5133_StrobeTX_D8,strobe 0xD8 = 1101xxxx = TX mode per A5133 datasheet; used to exit RX before ADC read and for 10 ms at scan start
0x420091bc,A5133_StrobeRX,strobe 0xC0
0x420091cc,A5133_ReadRssiDbm,RX strobe 150us then TX strobe then read ADC reg0x1E; dBm = ((ADC-RL)/(RH-RL))*12-83
0x420093c8,A5133_TrackScan,f-10..f+10 MHz two passes; detect if >10 above dji_rssi_thrsh
0x420094bc,A5133_RssiSpectrum175,5725..5899 MHz spectrum folded to 128 bins
0x420095f8,A5133_SweepRange,raw RSSI vector over channel range
0x4200b170,Settings_Load,NVS defaults (see brief section 1)
0x42009e80,Settings_Save,NVS save
0x4200aec0,Settings_SaveFreqRanges,freq1..3 save
0x4200c79c,Menu_AlarmSettings,menu strings Orlan+S/ZalaLancet/FPV
0x4200d434,Alarm_Display24G,display + dispatch for 2.4/5.8 GHz detections (types 2/3/4/5/DJI)
0x4200e738,CLI_CommandHandler,serial CLI (settings, dji, elrs scan, freq ranges ...)
0x4201168c,Menu_QuickActions,quick actions menu
0x42011fd4,Det_CryptoOrlan_Detect,br 55001..57999, rssi>30; >3 entries with count==1 -> type 10
0x42011e80,Det_CryptoOrlan_Ctor,vtable 3C0E6A3C
0x42011e04,Syncword_Normalize,top bits 00/11 -> &0x7FFFFFFF else strip alternating prefix
0x42012694,Syncword_IsUnlikely,rejects near-preamble words (mask 0x3FFFFFFF)
0x42012804,Det_SyncCount_Detect,learned syncword table; types 5/6/7/9/1; expire 1200000 ms
0x42012534,DetectorSet_Ctor,order: [0] SyncCount [1] StaticTable [2] CryptoOrlan
0x42012c40,Det_StaticTable_Ctor,static syncwords F17C1599 EC7C402F C55E38A9 2A2C1481 12345678 -> 2; 69517E96 -> 3; A545FA58/0545FA58 -> 5; 69696969 -> 4
0x420129a0,Det_StaticTable_Detect,lookup sw, sw>>1, (sw>>1)|0x04C4B400 (bug: decimal 80000000), normalised
0x42012388,Detectors_RunAll,run all detector objects (vtable+8)
0x42012180,Detections_ToLabel,type codes -> label string ("Or,","Za,","El,","ZL,","Lc,","?FPV,","FPVe,","Sc,","X3,")
0x420170e8,Bitrate_IsOrlanClass,76190/38150/80000 or 55001..57999
0x4201712c,Bitrate_IsEnabled,15235 needs detect_zl_la in {1,2}; Orlan-class needs detect_orlan
0x42017404,FSK_ScanStart,linear/randomized FSK scan start
0x420174e8,FSK_AdjustRange,range = [min_active-2 MHz, max_active+2 MHz]
0x42017200,SX127x_RestartFSK,beginFSK(755.0, 100 kbps, 76.7, afcbw, 10, 16) + AFC + gain
0x42017268,FSK_RestartRadio,set freq + bitrate from list
